7th Realm,Unlocked in the Brimhaven Dungeon,,4:07,Play track
Adventure,Unlocked in Varrock,,2:41,Play track
Al Kharid,Unlocked in Al Kharid,,3:18,Play track
Alchemical Attack!,Unlocked inside the Alchemical Hydra lair,,6:20,Play track
All's Fairy in Love & War,Unlocked at the Fairy Resistance Hideout during the Fairy Tale II - Cure a Queen quest,,3:28,Play track
Alone,Unlocked in the Clock Tower Dungeon and Ice Mountain,,3:27,Play track
Altar Ego,Unlocked in the Ourania Cave,,4:59,Play track
Alternative Root,Unlocked in the Tunnel of Chaos after completion of What Lies Below,,3:29,Play track
Amascut's Promise,Unlocked during the battle with the Wardens in the Tombs of Amascut,,9:24,Play track
Ambient Jungle,Unlocked at Shilo Village,,4:06,Play track
The Ancient Prison,Unlocked in the Ancient Prison,,2:13,Play track
The Angel's Fury,Unlocked during the fight with Nex,,4:27,Play track
Anywhere,Unlocked at Marim's main gate,,3:57,Play track
Ape-ex Predator,Unlocked during the battle with the Ba-Ba in the Tombs of Amascut,,6:34,Play track
Arabian,Unlocked in Al Kharid,,3:56,Play track
Arabian 2,Unlocked in Al Kharid,,3:04,Play track
Arabian 3,Unlocked outside of the Kalphite Lair,,2:25,Play track
Arabique,Unlocked in the hellhound area of Taverley Dungeon,,3:44,Play track
Arachnids of Vampyrium,Unlocked during the fight in the Nylocas' nest in the Theatre of Blood,,6:54,Play track
Arboretum,Unlocked during the Sins of the Father  quest,,3:40,Play track
Arcane,Unlocked in Arceuus,,2:47,Play track
Architects of Prifddinas,Unlocked upon entering Prifddinas,,5:39,Play track
Armadyl Alliance,Unlocked in the God Wars Dungeon,,3:00,Play track
Armageddon,Unlocked in the God Wars Dungeon,,4:05,Play track
Army of Darkness,Unlocked in the Wilderness,,2:35,Play track
Arrival,Unlocked in Falador,,1:39,Play track
Artistry,Unlocked during the Mime Random Event,,3:37,Play track
Ascent,Unlocked at Mount Quidamortem,,6:48,Play track
Assault and Battery,Unlocked during the Barbarian Assault minigame,,3:43,Play track
Attack 1,Unlocked in the Khazard Battlefield,,2:08,Play track
Attack 2,Unlocked in Elvarg's lair during the Dragon Slayer I  quest,,2:28,Play track
Attack 3,Unlocked in the Lava Maze dungeon,,2:50,Play track
Attack 4,Unlocked during the Fight Arena  quest,,2:29,Play track
Attack 5,Unlocked in the King Black Dragon cave,,2:05,Play track
Attack 6,Unlocked at the Gu'Tanoth Ogre Enclave,,2:32,Play track
Attention,Unlocked in Rimmington,,2:52,Play track
Autumn Voyage,Unlocked in Lumbridge,,2:16,Play track
Awful Anthem,Unlocked during Throne of Miscellania,,1:27,Play track
Aye Car Rum Ba,Unlocked on Braindeath Island,,4:17,Play track
Aztec,Unlocked at the Brimhaven Agility Arena,,3:30,Play track
Back to Life,"Unlocked in Sophanem. After the Contact! quest, it replaces the City of the Dead music track.",,4:00,Play track
Background,Unlocked on Entrana,,4:02,Play track
Bait,Unlocked during A Taste of Hope,,3:23,Play track
